,income,age,disability,employment
799,2,51,0,0
800,7,71,0,0
801,9,69,0,0
802,8,76,0,0
803,8,67,0,0
804,8,66,0,0
805,15,65,0,0
806,15,62,0,0
807,11,61,0,0
808,12,85,0,0
809,12,85,0,0
810,11,80,0,0
811,11,80,0,0
812,7,79,0,0
813,7,79,0,0
814,16,68,0,0
815,16,72,0,0
816,14,85,0,0
817,9,80,0,0
818,9,85,0,0
819,5,76,0,0
820,15,55,0,0
821,14,69,0,0
822,14,66,0,0
823,14,50,0,0
824,13,40,0,0
825,13,35,0,0
826,15,73,0,0
827,11,80,0,0
828,2,79,0,0
829,12,65,0,0
830,14,66,0,0
831,14,66,0,0
832,14,77,0,0
833,14,80,0,0
834,14,80,0,0
835,14,77,0,0
836,7,69,0,0
837,7,56,0,0
838,5,80,0,0
840,12,79,0,0
841,15,60,0,0
842,10,60,0,0
843,6,76,0,0
844,11,58,0,0
845,12,65,0,0
846,13,70,0,0
847,13,74,0,0
848,12,64,0,0
849,13,71,0,0
850,13,70,0,0
851,13,77,0,0
852,13,80,0,0
853,14,67,0,0
854,7,85,0,0
855,7,80,0,0
856,10,68,0,0
857,10,66,0,0
858,14,61,0,0
859,14,71,0,0
860,16,71,0,0
861,4,80,0,0
862,15,80,0,0
863,14,80,0,0
864,14,78,0,0
865,8,85,0,0
866,12,76,0,0
867,12,79,0,0
868,4,73,0,0
869,4,74,0,0
870,6,85,0,0
871,6,80,0,0
872,5,69,0,0
873,3,67,0,0
874,5,76,0,0
875,15,80,0,0
876,15,80,0,0
877,15,80,0,0
878,15,80,0,0
879,15,85,0,0
880,14,73,0,0
881,7,78,0,0
882,7,23,0,0
883,7,85,0,0
884,16,79,0,0
885,7,85,0,0
886,10,71,0,1
887,10,71,0,0
888,6,79,0,0
889,6,80,0,0
890,6,77,0,0
891,3,76,0,0
892,3,75,0,0
893,7,85,0,0
894,9,77,0,0
895,9,80,0,0
896,13,71,0,0
897,13,68,0,0
899,3,85,0,0
900,11,65,0,0
901,11,63,0,0
902,2,71,0,0
903,9,79,0,0
904,9,80,0,0
905,9,66,0,0
906,13,64,0,0
907,5,80,0,0
908,5,85,0,0
909,16,85,0,0
910,7,80,0,0
911,13,62,0,0
912,13,56,0,0
913,10,68,0,0
914,10,74,0,0
915,13,80,0,0
916,9,55,0,0
917,9,48,0,0
918,9,67,0,0
919,7,61,0,0
921,3,85,0,0
922,10,85,0,0
923,10,85,0,0
924,13,76,0,0
925,13,72,0,0
926,14,65,0,0
927,14,72,0,0
928,15,80,0,0
929,15,78,0,0
930,7,75,0,0
931,5,85,0,0
